name;grep-runtime;grep-result;re-runtime;re-result;pcre2-runtime;pcre2-result;rsaregex-runtime;rsaregex-result;rsaregex-matchtime;js-runtime;js-result;java-runtime;java-result;net-runtime;net-result;rsacpp-runtime
202;4.09;False;2.02;False;0.0;False;1.6;False;0.15701977699999992;0.85;False;0.05;False;0.03;False;ERR
203;0.02;False;0.01;False;0.0;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
204;0.01;True;0.01;True;0.01;True;2.68;True;0.21295210300000011;0.08;True;0.02;False;0.05;True;ERR
205;0.0;False;0.01;False;0.0;False;ERR;ERR;ERR;0.06;False;0.04;False;0.04;False;ERR
206;0.01;False;0.72;False;1.74;False;ERR;ERR;ERR;0.23;False;0.8;False;3.48;False;ERR
207;0.01;True;0.0;True;0.01;True;0.27;True;0.001252731000000007;0.06;True;0.05;False;0.04;True;ERR
208;ERR;ERR;0.01;True;0.0;True;TO;TO;TO;0.07;True;0.05;True;0.05;True;ERR
209;0.38;False;0.01;False;0.01;False;0.24;False;0.194624354;0.06;False;0.05;False;0.05;False;ERR
210;0.01;False;0.02;False;0.01;False;8.12;False;0.32085010000000036;0.08;False;0.11;False;0.03;False;ERR
211;ERR;ERR;0.01;False;0.01;False;15.49;False;0.1544515250000007;0.05;False;0.03;False;0.03;False;ERR
212;TO;TO;TO;TO;ERR;ERR;TO;TO;TO;TO;TO;TO;TO;TO;TO;ERR
213;0.05;True;0.01;True;0.01;True;1.39;True;0.214177124;0.06;True;0.15;False;0.03;True;ERR
214;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR;0.07;False;0.03;False;0.03;False;ERR
215;ERR;ERR;TO;TO;ERR;ERR;TO;TO;TO;TO;TO;ERR;ERR;TO;TO;ERR
216;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR;0.06;False;0.07;False;0.03;False;ERR
217;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR;0.06;False;0.04;False;0.03;False;ERR
218;0.01;False;0.0;True;0.01;True;12.47;True;0.3939783340000016;ERR;ERR;ERR;ERR;ERR;ERR;ERR
219;0.39;True;0.01;True;0.01;True;ERR;ERR;ERR;0.08;True;0.05;True;0.04;True;ERR
220;0.01;False;2.43;False;4.56;False;0.44;False;0.35928887899999995;0.59;False;2.27;False;9.29;False;ERR
221;0.01;False;0.01;False;0.01;False;1.31;False;5.005000000002369e-05;0.07;False;0.02;False;0.04;False;ERR
222;0.02;False;0.01;True;0.01;True;18.54;True;0.2520195020000031;0.06;True;0.13;False;0.03;True;ERR
223;ERR;ERR;0.01;False;0.01;False;ERR;ERR;ERR;0.05;False;0.03;False;0.04;False;ERR
224;0.03;True;0.0;True;0.01;True;ERR;ERR;ERR;0.06;True;0.05;False;0.04;True;ERR
225;ERR;ERR;0.01;False;0.02;False;ERR;ERR;ERR;0.07;False;0.03;False;0.03;False;ERR
226;0.01;False;0.01;False;0.0;False;0.03;False;3.680100000000297e-05;0.04;False;0.03;False;0.03;False;ERR
227;0.02;True;0.0;False;0.01;False;ERR;ERR;ERR;0.06;False;0.04;False;0.05;False;ERR
228;0.01;False;0.0;True;0.0;True;5.92;True;0.20738886799999978;ERR;ERR;ERR;ERR;ERR;ERR;ERR
229;TO;TO;0.01;True;0.01;True;ERR;ERR;ERR;0.06;True;0.23;False;0.03;True;ERR
230;24.28;True;0.01;True;0.0;True;0.33;True;0.282485313;0.07;True;0.06;True;0.03;True;ERR
231;ERR;ERR;0.0;True;0.01;True;ERR;ERR;ERR;0.06;True;0.05;False;0.05;True;ERR
232;0.01;False;TO;TO;0.01;False;3.06;False;0.1582051390000001;60.11;False;3.84;False;TO;TO;ERR
233;0.0;False;25.12;False;36.19;False;ERR;ERR;ERR;2.33;False;4.18;False;56.36;False;ERR
234;0.01;False;0.11;False;0.05;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
235;0.01;False;0.01;True;0.01;True;0.42;True;0.042947923;0.06;True;ERR;ERR;0.03;True;ERR
236;0.0;False;0.01;False;0.01;False;ERR;ERR;ERR;ERR;ERR;0.07;False;0.04;False;ERR
237;0.0;False;TO;TO;0.01;False;13.25;False;0.19950230999999974;TO;TO;TO;TO;TO;TO;ERR
238;0.0;False;23.6;False;36.17;False;ERR;ERR;ERR;1.46;False;0.19;False;69.83;False;ERR
239;0.01;False;0.01;False;0.01;False;13.26;False;0.0002705100000000016;0.06;False;0.04;False;0.04;False;ERR
