name;grep-runtime;grep-result;re-runtime;re-result;pcre2-runtime;pcre2-result;rsaregex-runtime;rsaregex-result;rsaregex-matchtime;nolocrsa-runtime;nolocrsa-result;nolocrsa-matchtime;js-runtime;js-result;java-runtime;java-result;net-runtime;net-result;rsacpp-runtime;rsacpp-result;rsacpp-matchtime
25;ERR;ERR;0.0;False;0.01;False;11.86;False;0.00019903899999995645;0.41;False;4.329499999999875e-05;0.07;False;0.03;False;0.05;False;ERR;ERR;ERR
26;ERR;ERR;0.02;False;0.01;False;10.61;False;0.0018697569999996944;0.24;False;0.00034747100000001585;0.06;False;0.03;False;0.04;False;0.01;False;0.002369556576013565
27;0.01;False;TO;TO;ERR;ERR;0.14;False;0.0006776569999999982;0.04;False;0.0002533999999999939;TO;TO;TO;TO;TO;TO;0.02;False;0.0019044755026698112
28;0.02;False;0.01;False;ERR;ERR;0.05;False;0.000735243999999996;0.09;False;0.00018626000000000753;0.07;False;0.09;False;0.05;False;ERR;ERR;ERR
29;91.87;True;0.01;True;0.01;True;0.61;True;0.53285805;0.15;True;0.11873694399999998;0.06;True;5.76;False;0.02;True;ERR;ERR;ERR
30;ERR;ERR;0.0;True;0.01;True;0.48;True;0.09157590500000001;0.1;True;0.02980627000000001;0.06;True;0.04;True;0.03;True;ERR;ERR;ERR
31;0.01;False;0.0;False;0.0;False;0.25;False;3.789700000000895e-05;0.05;False;1.6525000000003343e-05;0.05;False;0.03;False;0.03;False;ERR;ERR;ERR
32;ERR;ERR;0.01;False;0.01;False;19.87;False;0.17119225900000146;0.5;False;0.030638619000000034;0.06;False;0.03;False;0.04;False;0.07;False;0.059573473408818245
33;ERR;ERR;0.01;False;0.01;False;2.23;False;0.21515671000000003;0.18;False;0.05175549500000001;0.05;False;0.05;False;0.04;False;ERR;ERR;ERR
34;ERR;ERR;TO;TO;0.01;False;0.3;False;0.0008374770000000309;0.04;False;0.0003700960000000003;TO;TO;TO;TO;TO;TO;0.01;False;0.0023279525339603424
35;0.0;False;0.73;False;0.74;False;95.49;False;0.7543892690000007;0.72;False;0.094282388;0.15;False;ERR;ERR;1.52;False;ERR;ERR;ERR
36;0.01;False;0.01;True;0.01;True;0.43;True;0.14155092800000002;0.12;True;0.03691776399999999;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
37;TO;TO;0.01;True;0.0;True;0.71;True;0.35618665599999993;0.39;True;0.09462696500000001;0.06;True;0.04;False;0.04;True;ERR;ERR;ERR
38;0.01;False;0.0;True;0.01;True;9.47;True;0.23598667600000134;1.04;True;0.025385875000000002;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
39;0.01;False;0.01;True;0.0;True;6.3;True;0.218501732;0.72;True;0.027370382999999943;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
40;0.01;False;0.0;False;0.01;False;0.06;False;0.030934312;0.05;False;0.018613698999999997;0.07;False;0.04;False;0.04;False;ERR;ERR;ERR
41;0.01;False;0.01;False;ERR;ERR;0.06;False;0.0006971959999999972;0.08;False;0.000168241999999999;0.06;False;0.07;False;0.03;False;ERR;ERR;ERR
42;ERR;ERR;0.02;False;ERR;ERR;TO;TO;TO;TO;TO;TO;0.06;False;0.05;False;0.02;False;0.02;False;0.0016204677522182465
43;0.01;False;0.01;False;0.01;False;0.26;False;0.177529712;0.11;False;0.069179188;0.05;False;0.03;False;0.04;False;0.09;True;0.09042087197303772
44;88.64;False;0.53;False;0.8;False;0.41;False;0.25712424300000003;0.14;False;0.095140846;0.09;False;0.54;False;1.6;False;ERR;ERR;ERR
45;0.01;False;85.44;False;0.01;False;0.85;False;0.524826374;0.25;False;0.189841582;12.22;False;60.48;False;TO;TO;ERR;ERR;ERR
46;0.01;False;0.1;False;0.17;False;0.54;False;0.09955609399999998;0.16;False;0.028154239999999997;0.09;False;ERR;ERR;0.34;False;ERR;ERR;ERR
47;0.01;False;0.01;False;0.01;False;0.04;False;2.1171999999999858e-05;0.02;False;1.5372999999999082e-05;0.05;False;0.03;False;0.04;False;ERR;ERR;ERR
48;0.01;False;0.01;False;0.0;False;0.77;False;0.128670815;0.11;False;0.05302839499999999;0.05;False;0.06;False;0.04;False;ERR;ERR;ERR
49;0.01;False;10.66;False;0.01;False;14.59;False;0.3417701570000009;2.86;False;0.06799210600000016;0.25;False;4.25;False;14.82;False;ERR;ERR;ERR
50;0.01;True;0.01;False;0.01;False;TO;TO;TO;TO;TO;TO;0.05;False;0.03;False;0.04;False;0.07;True;0.06414698250591755
51;0.01;False;0.61;False;0.01;False;40.99;False;0.21749662199999875;13.4;False;0.05811213600000009;0.11;False;0.5;False;1.02;False;ERR;ERR;ERR
52;TO;TO;0.42;False;0.77;False;0.18;False;0.14587107300000002;0.08;False;0.05979408099999999;0.15;False;0.54;False;1.61;False;ERR;ERR;ERR
53;ERR;ERR;0.01;False;0.0;False;2.46;False;4.422599999998056e-05;0.21;False;3.4020999999995194e-05;0.05;False;0.04;False;0.03;False;ERR;ERR;ERR
54;0.0;False;0.01;True;0.01;True;4.75;True;0.3678909640000003;0.62;True;0.04971017499999997;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
55;0.01;False;0.01;False;0.01;False;TO;TO;TO;ERR;ERR;ERR;0.07;False;ERR;ERR;0.02;False;ERR;ERR;ERR
56;0.02;False;0.01;False;0.01;False;0.05;False;1.8138000000000876e-05;0.03;False;1.2087999999993437e-05;0.06;False;0.06;False;0.03;False;ERR;ERR;ERR
57;0.01;False;0.01;True;0.01;True;6.54;True;0.21284956700000013;0.93;True;0.02734945199999994;ERR;ERR;0.1;False;0.03;True;ERR;ERR;ERR
58;ERR;ERR;0.05;False;0.03;False;2.87;False;0.36551737200000023;0.2;False;0.03606593499999999;0.08;False;ERR;ERR;0.04;False;ERR;ERR;ERR
59;0.01;False;0.01;False;0.01;False;0.23;False;0.134486684;0.11;False;0.01874062;0.05;False;0.05;False;0.04;False;ERR;ERR;ERR
